pickup_borough,pickup_zone,dropoff_borough,dropoff_zone,total_trips,total_revenue,average_total_amount,average_trip_distance,average_trip_duration,average_revenue_per_mile
Manhattan,Midtown Center,Brooklyn,Greenpoint,202,7901.91,39.11836633663366,4.594108910891089,22.53316831683168,8.785909439344513
Manhattan,Midtown South,Manhattan,Manhattan Valley,202,6946.4,34.388118811881185,4.552475247524753,22.75115511551155,7.702123828574386
Manhattan,Manhattanville,Manhattan,Morningside Heights,202,2194.07,10.861732673267328,0.9488118811881188,5.960478547854786,13.854980503196195
Manhattan,Battery Park City,Manhattan,World Trade Center,201,3251.21,16.175174129353234,0.7524875621890548,6.498258706467662,39.426963516395524
Queens,JFK Airport,EWR,Newark Airport,201,41377.0,205.85572139303483,36.862139303482586,59.739469320066334,5.591536393510545
Manhattan,Bloomingdale,Manhattan,Central Park,201,3823.73,19.023532338308456,1.9162189054726368,11.389220563847429,12.625951485591916
Manhattan,Central Harlem,Manhattan,Upper East Side North,201,4085.81,20.327412935323384,2.0899502487562187,13.039303482587066,9.983028822276566
Manhattan,Midtown North,Unknown,Unknown,201,5517.45,27.45,2.574676616915423,14.31044776119403,186.52314849281063
Manhattan,Yorkville West,Manhattan,Bloomingdale,201,4468.0199999999995,22.228955223880593,2.388358208955224,13.090630182421227,9.413637695138235
Manhattan,Financial District North,Manhattan,Sutton Place/Turtle Bay North,200,6803.03,34.01515,5.293150000000001,15.853166666666667,6.447108121411296
Manhattan,Morningside Heights,Manhattan,Clinton East,200,6019.2,30.096,4.19685,18.4775,7.3521757644753425
Manhattan,Murray Hill,Manhattan,Seaport,200,6427.84,32.1392,4.58545,17.397166666666667,7.070695575262857
Manhattan,TriBeCa/Civic Center,Queens,LaGuardia Airport,200,14787.9,73.9395,12.888699999999998,33.02941666666666,5.728880664943684
Manhattan,UN/Turtle Bay South,Manhattan,Financial District North,200,6466.24,32.331199999999995,4.9856,16.722166666666666,6.501383942088701
Manhattan,UN/Turtle Bay South,Manhattan,Lincoln Square West,200,5740.11,28.70055,2.7525,21.249499999999998,10.632100974199686
Queens,JFK Airport,Manhattan,Chinatown,200,18096.8,90.484,19.4211,46.01775,4.704027790508679
Manhattan,Clinton East,Queens,Astoria,199,7293.6,36.651256281407036,5.101658291457286,24.540871021775544,7.247492114896819
Queens,JFK Airport,Brooklyn,Kensington,199,19004.55,95.5002512562814,20.8964824120603,42.90050251256282,4.601891473586975
Manhattan,Lenox Hill East,Manhattan,Financial District South,199,7208.88,36.225527638190954,6.329195979899497,15.643634840871023,5.735420686272253
Manhattan,West Village,Manhattan,Central Park,199,6669.71,33.51613065326633,4.077738693467337,24.172696817420437,8.560415185739679
Manhattan,West Chelsea/Hudson Yards,Manhattan,Financial District South,199,6181.19,31.061256281407033,4.176231155778895,19.788525963149077,7.483282657118986
Manhattan,Upper East Side South,Queens,Long Island City/Hunters Point,199,5356.55,26.917336683417087,2.925477386934673,17.5748743718593,9.368017519911819
Manhattan,Seaport,Manhattan,East Village,199,4801.88,24.130050251256282,2.749849246231156,12.923031825795645,9.286413199292236
Manhattan,Times Sq/Theatre District,Manhattan,Hamilton Heights,199,7884.83,39.622261306532664,6.415175879396984,22.03333333333333,6.237970875175537
Manhattan,Battery Park City,Manhattan,UN/Turtle Bay South,199,7275.86,36.56211055276382,6.053668341708543,17.151758793969847,6.049215469561183
Manhattan,Penn Station/Madison Sq West,Queens,Astoria,199,8608.78,43.26020100502513,5.681407035175879,29.90829145728643,7.7331114653193325
Manhattan,Lower East Side,Manhattan,Seaport,198,3808.2,19.23333333333333,1.6973737373737372,10.395117845117843,12.256844997063693
Manhattan,Yorkville East,Manhattan,Garment District,198,5996.18,30.283737373737374,3.6566666666666667,20.762626262626263,8.372100338256136
Manhattan,East Chelsea,Unknown,Unknown,198,5045.35,25.481565656565657,2.1145454545454547,14.30084175084175,188.91720087283562
Queens,LaGuardia Airport,Brooklyn,DUMBO/Vinegar Hill,198,12129.63,61.26075757575757,10.455252525252524,27.049326599326598,5.862010837672881
Queens,LaGuardia Airport,Queens,Jamaica,198,9540.36,48.18363636363637,8.05030303030303,22.381060606060604,6.010041555267009
Manhattan,West Village,Brooklyn,Williamsburg (South Side),198,6561.87,33.140757575757576,3.8985858585858586,22.23956228956229,8.60842498417524
Manhattan,Clinton West,Manhattan,Lenox Hill West,197,4826.08,24.49786802030457,2.4758375634517766,16.483756345177667,10.062874643195899
Manhattan,Flatiron,Manhattan,World Trade Center,197,5304.64,26.927106598984775,3.10238578680203,17.366074450084604,8.816611608941146
Manhattan,Lower East Side,Brooklyn,Greenpoint,197,5778.62,29.333096446700505,3.9575126903553297,14.376395939086295,7.449604433156975
Manhattan,Financial District North,Manhattan,Greenwich Village South,197,4507.92,22.88284263959391,2.2451776649746193,14.26565143824027,10.781769583757512
Manhattan,Upper West Side North,Manhattan,Greenwich Village North,197,7821.82,39.70467005076142,5.25,28.39864636209814,7.62782991418154
Manhattan,Lower East Side,Queens,JFK Airport,196,16788.59,85.65607142857142,17.49091836734694,47.67534013605442,4.943134452217691
Manhattan,Lenox Hill East,Manhattan,Lower East Side,196,6250.79,31.891785714285714,4.88765306122449,17.045578231292517,6.650025244949305
Manhattan,Garment District,Manhattan,Central Harlem,196,6985.78,35.64173469387755,4.92984693877551,24.51981292517007,7.362612431726826
Manhattan,Lower East Side,Manhattan,Garment District,196,5358.6,27.339795918367347,3.151989795918367,19.167772108843536,8.738338417842535
Manhattan,Midtown East,Manhattan,Central Harlem,196,6195.03,31.607295918367345,4.110867346938775,20.560544217687074,7.743066852228133
Manhattan,Upper East Side North,Manhattan,Lower East Side,196,7692.13,39.2455612244898,6.041326530612245,24.40926870748299,6.5532362254286864
Manhattan,TriBeCa/Civic Center,Manhattan,Alphabet City,196,4589.04,23.4134693877551,2.561377551020408,13.716751700680271,9.659565230475547
